id,reference,text,theme,mood,image_keywords
116,Proverbs 4:23,"Above all else, guard your heart, for everything you do flows from it.",heart,reflective,"heart light glowing morning"
117,Matthew 7:7,"Ask and it will be given to you; seek and you will find; knock and the door will be opened to you.",prayer,uplifting,"open door light sunrise"
118,Psalm 107:9,"For he satisfies the thirsty and fills the hungry with good things.",provision,calm,"cool water stream morning light"
119,Isaiah 30:21,"Whether you turn to the right or to the left, your ears will hear a voice behind you, saying, This is the way; walk in it.",guidance,calm,"path through forest morning mist"
120,John 4:14,"But whoever drinks the water I give them will never thirst. Indeed, the water I give them will become in them a spring of water welling up to eternal life.",eternal,calm,"spring water flowing rocks peaceful"
121,Psalm 46:5,"God is within her, she will not fall; God will help her at break of day.",strength,uplifting,"woman sunrise standing strong"
122,Romans 8:37,"No, in all these things we are more than conquerors through him who loved us.",victory,uplifting,"conqueror mountain summit sunrise"
123,Hebrews 6:19,"We have this hope as an anchor for the soul, firm and secure.",hope,calm,"anchor ocean sunrise peaceful"
124,Psalm 145:8,"The Lord is gracious and compassionate, slow to anger and rich in love.",grace,calm,"gentle sunrise soft light morning"
125,Matthew 5:14,"You are the light of the world. A town built on a hill cannot be hidden.",purpose,uplifting,"city on hill sunrise glowing"
126,Isaiah 43:4,"Since you are precious and honored in my sight, and because I love you.",love,calm,"precious gem light golden"
127,John 8:32,"Then you will know the truth, and the truth will set you free.",freedom,uplifting,"open field sunrise freedom"
128,Psalm 31:15,"My times are in your hands.",trust,calm,"hands open sunrise light"
129,Romans 12:10,"Be devoted to one another in love. Honor one another above yourselves.",love,reflective,"hands intertwined morning light"
130,Proverbs 18:10,"The name of the Lord is a fortified tower; the righteous run to it and are safe.",protection,uplifting,"tower fortress sunrise safe"
131,Matthew 11:29,"Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls.",rest,calm,"gentle path morning light soft"
132,Psalm 32:8,"I will instruct you and teach you in the way you should go; I will counsel you with my loving eye on you.",guidance,calm,"teacher student sunrise learning"
133,Isaiah 26:4,"Trust in the Lord forever, for the Lord, the Lord himself, is the Rock eternal.",trust,uplifting,"rock mountain eternal sunrise"
134,1 John 1:9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness.",forgiveness,calm,"clean water purifying light"
135,Psalm 143:10,"Teach me to do your will, for you are my God; may your good Spirit lead me on level ground.",guidance,reflective,"level path sunrise morning mist"
136,John 15:7,"If you remain in me and my words remain in you, ask whatever you wish, and it will be done for you.",prayer,uplifting,"vine tree sunrise flourishing"
137,Romans 12:1,"Therefore, I urge you, brothers and sisters, in view of God's mercy, to offer your bodies as a living sacrifice, holy and pleasing to God.",devotion,reflective,"sunrise offering hands open sky"
138,Psalm 25:4-5,"Show me your ways, Lord, teach me your paths. Guide me in your truth and teach me.",guidance,calm,"winding path morning light peaceful"
139,Hebrews 11:6,"And without faith it is impossible to please God, because anyone who comes to him must believe that he exists and that he rewards those who earnestly seek him.",faith,reflective,"sunrise seeking light horizon"
140,Matthew 5:3,"Blessed are the poor in spirit, for theirs is the kingdom of heaven.",humility,reflective,"humble bowed head sunrise light"
141,Isaiah 53:5,"But he was pierced for our transgressions, he was crushed for our iniquities; the punishment that brought us peace was on him, and by his wounds we are healed.",healing,reflective,"cross sunrise healing light"
142,Psalm 48:14,"For this God is our God for ever and ever; he will be our guide even to the end.",guidance,calm,"eternal path sunrise endless"
143,John 3:17,"For God did not send his Son into the world to condemn the world, but to save the world through him.",grace,uplifting,"warm embrace world sunrise"
144,Romans 8:11,"And if the Spirit of him who raised Jesus from the dead is living in you, he who raised Christ from the dead will also give life to your mortal bodies.",resurrection,uplifting,"rising sun life power morning"
145,Psalm 37:7,"Be still before the Lord and wait patiently for him.",patience,calm,"still pond morning reflection"
146,Proverbs 3:24,"When you lie down, you will not be afraid; when you lie down, your sleep will be sweet.",rest,calm,"peaceful bedroom morning light soft"
147,Matthew 6:25,"Therefore I tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear.",anxiety,calm,"birds morning sky free peaceful"
148,Isaiah 40:1,"Comfort, comfort my people, says your God.",comfort,calm,"embrace warmth golden soft light"
149,Psalm 119:11,"I have hidden your word in my heart that I might not sin against you.",scripture,reflective,"open bible morning light"
150,John 14:26,"But the Advocate, the Holy Spirit, whom the Father will send in my name, will teach you all things.",spirit,calm,"dove light descending morning"
151,Romans 15:4,"For everything that was written in the past was written to teach us, so that through the endurance taught in the Scriptures we might have hope.",hope,reflective,"ancient book light wisdom morning"
152,Psalm 30:5,"Weeping may stay for the night, but rejoicing comes in the morning.",joy,uplifting,"sunrise after night morning glory"
153,Hebrews 10:23,"Let us hold unswervingly to the hope we profess, for he who promised is faithful.",hope,uplifting,"holding anchor sunrise faithful"
154,Matthew 5:7,"Blessed are the merciful, for they will be shown mercy.",mercy,reflective,"gentle hands helping sunrise"
155,Isaiah 45:2,"I will go before you and will level the mountains.",provision,uplifting,"road opening mountain sunrise"
156,Psalm 27:14,"Wait for the Lord; be strong and take heart and wait for the Lord.",patience,calm,"person waiting sunrise horizon"
157,John 15:11,"I have told you this so that my joy may be in you and that your joy may be complete.",joy,uplifting,"complete joy sunrise fullness"
158,Romans 12:19,"Do not take revenge, my dear friends, but leave room for God's wrath.",trust,reflective,"open hands releasing sunrise"
159,Psalm 18:32,"It is God who arms me with strength and keeps my way secure.",strength,uplifting,"armor strength sunrise warrior"
160,Colossians 1:17,"He is before all things, and in him all things hold together.",eternal,reflective,"cosmos universe sunrise infinite"
161,Matthew 19:26,"With man this is impossible, but with God all things are possible.",faith,uplifting,"impossible mountain climbed sunrise"
162,Isaiah 57:15,"I live in a high and holy place, but also with the one who is contrite and lowly in spirit.",humility,reflective,"high mountain humble valley"
163,Psalm 51:10,"Create in me a pure heart, O God, and renew a steadfast spirit within me.",renewal,reflective,"clean water heart light renewal"
164,John 16:24,"Until now you have not asked for anything in my name. Ask and you will receive, and your joy will be complete.",prayer,uplifting,"sunrise asking receiving joy"
165,Romans 8:6,"The mind governed by the Spirit is life and peace.",peace,calm,"peaceful mind morning light"
166,Psalm 33:20,"We wait in hope for the Lord; he is our help and our shield.",hope,calm,"waiting hope sunrise shield"
167,Hebrews 13:8,"Jesus Christ is the same yesterday and today and forever.",eternal,uplifting,"eternal sunrise unchanging horizon"
168,Matthew 5:16,"In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven.",purpose,uplifting,"candle shining darkness light"
169,Isaiah 60:1,"Arise, shine, for your light has come, and the glory of the Lord rises upon you.",glory,uplifting,"sunrise rising glory morning"
170,Psalm 71:14,"As for me, I will always have hope; I will praise you more and more.",hope,uplifting,"always hope sunrise praise"
171,John 5:24,"Whoever hears my word and believes him who sent me has eternal life.",eternal,uplifting,"eternal life sunrise promise"
172,Romans 6:23,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord.",grace,uplifting,"gift sunrise eternal life"
173,Psalm 23:6,"Surely your goodness and love will follow me all the days of my life, and I will dwell in the house of the Lord forever.",goodness,calm,"path goodness following morning"
174,Proverbs 17:17,"A friend loves at all times, and a brother is born for a time of adversity.",love,reflective,"friends sunrise together faithful"
175,Matthew 7:24,"Therefore everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock.",wisdom,reflective,"rock foundation sunrise stable"
176,Isaiah 43:1,"Do not fear, for I have redeemed you; I have summoned you by name; you are mine.",identity,uplifting,"called by name sunrise belonging"
177,Psalm 84:2,"My soul yearns, even faints, for the courts of the Lord; my heart and my flesh cry out for the living God.",longing,reflective,"yearning sunrise God seeking"
178,John 10:28,"I give them eternal life, and they shall never perish; no one will snatch them out of my hand.",security,calm,"hands holding safe sunrise"
179,Romans 5:5,"And hope does not put us to shame, because God's love has been poured out into our hearts through the Holy Spirit.",hope,uplifting,"poured love sunrise abundant"
180,Psalm 145:9,"The Lord is good to all; he has compassion on all he has made.",compassion,calm,"gentle sunrise all creation peaceful"
181,Hebrews 12:11,"No discipline seems pleasant at the time, but painful. Later on, however, it produces a harvest of righteousness and peace.",perseverance,reflective,"harvest sunrise righteousness field"
182,Matthew 6:6,"But when you pray, go into your room, close the door and pray to your Father.",prayer,calm,"quiet room light prayer morning"
183,Isaiah 41:17,"The poor and needy search for water, but there is none; their tongues are parched with thirst. But I the Lord will answer them.",provision,calm,"water desert oasis sunrise"
184,Psalm 138:3,"When I called, you answered me; you greatly emboldened me.",answered prayer,uplifting,"calling answered sunrise bold"
185,John 14:3,"And if I go and prepare a place for you, I will come back and take you to be with me that you also may be where I am.",hope,uplifting,"prepared place sunrise beautiful"
186,Romans 8:28,"We know that in all things God works for the good of those who love him.",goodness,uplifting,"all things working sunrise good"
187,Psalm 34:4,"I sought the Lord, and he answered me; he delivered me from all my fears.",deliverance,uplifting,"delivered from fear sunrise free"
188,Proverbs 29:25,"Fear of man will prove to be a snare, but whoever trusts in the Lord is kept safe.",trust,calm,"trust safety sunrise fearless"
189,Matthew 14:27,"But Jesus immediately said to them: Take courage! It is I. Don't be afraid.",courage,uplifting,"walking water sunrise courageous"
190,Isaiah 40:11,"He tends his flock like a shepherd: He gathers the lambs in his arms and carries them close to his heart.",love,calm,"shepherd lambs golden sunrise"
191,Psalm 119:50,"My comfort in my suffering is this: Your promise preserves my life.",comfort,calm,"promise comfort suffering sunrise"
192,John 15:16,"You did not choose me, but I chose you and appointed you so that you might go and bear fruit.",purpose,uplifting,"chosen appointed sunrise fruit"
193,Romans 12:15,"Rejoice with those who rejoice; mourn with those who mourn.",empathy,reflective,"together sunrise empathy friends"
194,Psalm 86:15,"But you, Lord, are a compassionate and gracious God, slow to anger, abounding in love and faithfulness.",grace,calm,"compassion grace sunrise gentle"
195,Hebrews 11:8,"By faith Abraham, when called to go to a place he would later receive as his inheritance, obeyed and went, even though he did not know where he was going.",faith,reflective,"journey faith sunrise unknown path"
196,Matthew 5:5,"Blessed are the meek, for they will inherit the earth.",humility,calm,"gentle sunrise meek earth"
197,Isaiah 26:12,"Lord, you establish peace for us; all that we have accomplished you have done for us.",peace,calm,"peace established sunrise grateful"
198,Psalm 40:3,"He put a new song in my mouth, a hymn of praise to our God.",praise,uplifting,"new song sunrise praise music"
199,John 6:47,"Very truly I tell you, the one who believes has eternal life.",eternal,uplifting,"believe eternal sunrise promise"
200,Romans 10:17,"Consequently, faith comes from hearing the message, and the message is heard through the word about Christ.",faith,reflective,"hearing word sunrise faith growing"
201,Psalm 27:4,"One thing I ask from the Lord, this only do I seek: that I may dwell in the house of the Lord all the days of my life.",devotion,calm,"dwelling house Lord sunrise"
202,Proverbs 3:7-8,"Do not be wise in your own eyes; fear the Lord and shun evil. This will bring health to your body and nourishment to your bones.",wisdom,reflective,"wisdom humble sunrise health"
203,Matthew 7:12,"So in everything, do to others what you would have them do to you.",love,reflective,"golden rule sunrise others"
204,Isaiah 55:1,"Come, all you who are thirsty, come to the waters; and you who have no money, come, buy and eat!",provision,uplifting,"water invitation sunrise come"
205,Psalm 103:2-3,"Praise the Lord, my soul, and forget not all his benefits — who forgives all your sins and heals all your diseases.",healing,uplifting,"healing forgiveness sunrise grateful"
206,John 14:13,"And I will do whatever you ask in my name, so that the Father may be glorified in the Son.",prayer,uplifting,"prayer answered glory sunrise"
207,Romans 15:7,"Accept one another, then, just as Christ accepted you, in order to bring praise to God.",acceptance,reflective,"open arms accepting sunrise"
208,Psalm 18:28,"You, Lord, keep my lamp burning; my God turns my darkness into light.",light,uplifting,"lamp darkness turned light sunrise"
209,Hebrews 10:35,"So do not throw away your confidence; it will be richly rewarded.",confidence,uplifting,"confident standing sunrise reward"
210,Matthew 5:10,"Blessed are those who are persecuted because of righteousness, for theirs is the kingdom of heaven.",perseverance,reflective,"persecuted blessed sunrise kingdom"
211,Isaiah 51:12,"I, even I, am he who comforts you.",comfort,calm,"comforter presence sunrise warm"
212,Psalm 119:165,"Great peace have those who love your law, and nothing can make them stumble.",peace,calm,"great peace law sunrise"
213,John 16:13,"But when he, the Spirit of truth, comes, he will guide you into all the truth.",truth,reflective,"spirit truth sunrise guiding"
214,Romans 8:15,"The Spirit you received does not make you slaves, so that you live in fear again; rather, the Spirit you received brought about your adoption to sonship.",identity,uplifting,"adopted child sunrise belonging"
215,Psalm 34:15,"The eyes of the Lord are on the righteous, and his ears are attentive to their cry.",presence,calm,"watchful eyes sunrise attentive"
216,Proverbs 11:25,"A generous person will prosper; whoever refreshes others will be refreshed.",generosity,uplifting,"generous giving sunrise prosper"
217,Matthew 11:30,"For my yoke is easy and my burden is light.",rest,calm,"light burden sunrise easy"
218,Isaiah 43:10,"You are my witnesses, declares the Lord, and my servant whom I have chosen.",purpose,uplifting,"witness chosen servant sunrise"
219,Psalm 46:7,"The Lord Almighty is with us; the God of Jacob is our fortress.",protection,uplifting,"fortress almighty sunrise protection"
220,John 3:36,"Whoever believes in the Son has eternal life.",eternal,uplifting,"believe eternal life sunrise"
